time_s,Product,Impurity
248.0,4.090666323260619e-49,2.969449782061113e-24
249.0,5.16413299828659e-49,3.8727002177246886e-24
250.0,6.516480369894807e-49,5.0493496576120695e-24
251.0,8.211373874278321e-49,6.5694131730784015e-24
252.0,1.034072702302234e-48,8.541060222865964e-24
253.0,1.3014620074077282e-48,1.1095765203759314e-23
254.0,1.6357302367135444e-48,1.4382197884786627e-23
255.0,2.0556495759220693e-48,1.864202164648197e-23
256.0,2.5813191173794472e-48,2.4131179939751404e-23
257.0,3.237516859833604e-48,3.117243595927081e-23
258.0,4.060893246691796e-48,4.0274192079010945e-23
259.0,5.0890382863438434e-48,5.194802016688888e-23
260.0,6.37168102511457e-48,6.689718678780561e-23
261.0,7.9773967804671e-48,8.6135090979405e-23
262.0,9.978220386700094e-48,1.107122765757553e-22
263.0,1.2473133267861506e-47,1.4213967781861293e-22
264.0,1.5588510689612818e-47,1.8239688297423332e-22
265.0,1.9461940790400448e-47,2.3362740693255304e-22
266.0,2.429009849935843e-47,2.9905793922629935e-22
267.0,3.0302078921653537e-47,3.8247332741261102e-22
268.0,3.7759852780618177e-47,4.882201988360621e-22
269.0,4.705341870286051e-47,6.231434625606778e-22
270.0,5.859066619290319e-47,7.943131858913983e-22
271.0,7.288355001465242e-47,1.0108028693751323e-21
272.0,9.0660178263726e-47,1.2860910744448588e-21
273.0,1.1267579474100057e-46,1.6339840716994378e-21
274.0,1.3992384688699051e-46,2.0731902932503227e-21
275.0,1.7373094422933746e-46,2.6294377796805247e-21
276.0,2.155066845871272e-46,3.3298608330118565e-21
277.0,2.6717284273171064e-46,4.21271173703079e-21
278.0,3.311129758807666e-46,5.326187383887589e-21
279.0,4.09951813294594e-46,6.723287726079244e-21
280.0,5.074052417621556e-46,8.481786899243616e-21
281.0,6.276915909266056e-46,1.0690196522697525e-20
282.0,7.756988149018384e-46,1.3451672513271703e-20
283.0,9.585752650640043e-46,1.6922624108749954e-20
284.0,1.1836930100773087e-45,2.1262901832000418e-20
285.0,1.4604107999239094e-45,2.6678893894489185e-20
286.0,1.8016204889495138e-45,3.3462095189039546e-20
287.0,2.2208175998358256e-45,4.191577643347e-20
288.0,2.7356811197347542e-45,5.2444731015066774e-20
289.0,3.3691751475779656e-45,6.558321245866325e-20
290.0,4.1459464918292644e-45,8.19030169970129e-20
291.0,5.0993886200501517e-45,1.0219418744295459e-19
292.0,6.26986625412081e-45,1.2741901603515391e-19
293.0,7.702296356863918e-45,1.5864915383110089e-19
294.0,9.459728583689515e-45,1.9741832210439105e-19
295.0,1.1612090675480475e-44,2.4542826304873196e-19
296.0,1.424180769886642e-44,3.046948362677107e-19
297.0,1.7465662879869807e-44,3.781213715064477e-19
298.0,2.140502800639001e-44,4.6871557468266695e-19
299.0,2.6213575205079687e-44,5.803174451067476e-19
300.0,3.2097368724299017e-44,7.181283788533101e-19
301.0,3.9274015223680176e-44,8.876329636851594e-19
302.0,4.802730601807095e-44,1.096038459389156e-18
303.0,5.871656627991444e-44,1.3525200824105752e-18
304.0,7.17310809788988e-44,1.6670188589416698e-18
305.0,8.759493416432041e-44,2.052997154302091e-18
306.0,1.0692678262898488e-43,2.526381524422345e-18
307.0,1.3042170096329896e-43,3.1050859457836877e-18
308.0,1.5904729769765e-43,3.814127559997496e-18
309.0,1.938540469175977e-43,4.680688562040769e-18
310.0,2.3609928345122854e-43,5.737340206419935e-18
311.0,2.8751357490468617e-43,7.028903047387296e-18
312.0,3.4990828066607793e-43,8.602356043973866e-18
313.0,4.2557041311821085e-43,1.0516962113769919e-17
314.0,5.174922833553809e-43,1.2850079558538661e-17
315.0,6.288591966268039e-43,1.568420483950205e-17
316.0,7.638072796854156e-43,1.912603412514987e-17
317.0,9.274525749388371e-43,2.3307183474384112e-17
318.0,1.1253855523732832e-42,2.8371672004585066e-17
319.0,1.3650874332495293e-42,3.451068541962181e-17
320.0,1.655199636110645e-42,4.1944851801099355e-17
321.0,2.0055172660340897e-42,5.092417271498649e-17
322.0,2.4295707106255686e-42,6.178952040531388e-17
323.0,2.941763252435803e-42,7.490503777516537e-17
324.0,3.559575778101785e-42,9.071020931648806e-17
325.0,4.3064381837718256e-42,1.0978591739950282e-16
326.0,5.207036489247494e-42,1.3274707231352055e-16
327.0,6.292449925209465e-42,1.6035968976841752e-16
328.0,7.602434465292936e-42,1.935915958548297e-16
329.0,9.179626127444387e-42,2.334844725023921e-16
330.0,1.1079151274093944e-41,2.8136412498862945e-16
331.0,1.3367744931124343e-41,3.388218639564725e-16
332.0,1.611891443062101e-41,4.0761230057341457e-16
333.0,1.9430457961502927e-41,4.900193733424703e-16
334.0,2.341310022722885e-41,5.886240275290733e-16
335.0,2.819347590580985e-41,7.063673452022524e-16
336.0,3.394479529497241e-41,8.471589490459988e-16
337.0,4.0848729234555855e-41,1.0151315660851935e-15
338.0,4.912811049464622e-41,1.2152811311282792e-15
339.0,5.907449951086028e-41,1.4539832236253843e-15
340.0,7.099698723814885e-41,1.7380418858596754e-15
341.0,8.528356809703422e-41,2.0758246199850265e-15
342.0,1.0242031036478923e-40,2.477605047220366e-15
343.0,1.2293211561697562e-40,2.9545212138899937e-15
344.0,1.4749479274196693e-40,3.520524105885384e-15
345.0,1.7691035031028142e-40,4.1919679391247736e-15
346.0,2.120687458426978e-40,4.986984550551206e-15
347.0,2.54147398142376e-40,5.9287264007609355e-15
348.0,3.04454885536563e-40,7.042902959033949e-15
349.0,3.6450664881454464e-40,8.35900130140355e-15
350.0,4.363283370575156e-40,9.914875563914392e-15
351.0,5.22054858098833e-40,1.1750807522077211e-14
352.0,6.242997262435836e-40,1.391498790565362e-14
353.0,7.464153338731121e-40,1.646716951447435e-14
354.0,8.919762153722271e-40,1.9471529592476227e-14
355.0,1.0654559813564671e-39,2.3005971312112133e-14
356.0,1.2723517145060444e-39,2.7163783116112732e-14
357.0,1.5186381525982954e-39,3.204664674361677e-14
358.0,1.8119757560663957e-39,3.7779928769299097e-14
359.0,2.1612893413285272e-39,4.450765177436732e-14
360.0,2.5765508440156683e-39,5.2390053681315815e-14
361.0,3.070881627193594e-39,6.162795804332384e-14
362.0,3.658616384007996e-39,7.244117867764591e-14
363.0,4.356547058347859e-39,8.508267298577842e-14
364.0,5.186643748183404e-39,9.98673492013972e-14
365.0,6.17216774953497e-39,1.171320556866885e-13
366.0,7.341536115428935e-39,1.372754988928563e-13
367.0,8.730533099146628e-39,1.6077967715745666e-13
368.0,1.0377521611693631e-38,1.8816474420307444e-13
369.0,1.233036828928532e-38,2.2005396118353854e-13
370.0,1.464684234230025e-38,2.5717765255749814e-13
371.0,1.7390113320132376e-38,3.003347280401037e-13
372.0,2.0640841054155972e-38,3.504951068956132e-13
373.0,2.449140017006562e-38,4.0875407191245065e-13
374.0,2.9045667492782863e-38,4.763322877094245e-13
375.0,3.4439606640778546e-38,5.547323255684525e-13
376.0,4.081940182580352e-38,6.455797141625923e-13
377.0,4.835810484912572e-38,7.507463108546345e-13
378.0,5.727765547220366e-38,8.725004525654626e-13
379.0,6.781405695049958e-38,1.0132777346767276e-12
380.0,8.025499556532378e-38,1.1759301887185832e-12
381.0,9.495655498449634e-38,1.3638300011385808e-12
382.0,1.1230243164435503e-37,1.5806280405427877e-12
383.0,1.3276991223263885e-37,1.8306433192860325e-12
384.0,1.5692544282043981e-37,2.118842746836502e-12
385.0,1.8539193808087785e-37,2.450670564818879e-12
386.0,2.1896156009635994e-37,2.8326383484892356e-12
387.0,2.585271351014587e-37,3.2719935084260003e-12
388.0,3.0509871057089666e-37,3.776813832871262e-12
389.0,3.599914325393811e-37,4.3568725889028285e-12
390.0,4.245986131750633e-37,5.0226448802046286e-12
391.0,5.005855271234427e-37,5.7861732592664145e-12
392.0,5.900483905034738e-37,6.661712010665451e-12
393.0,6.952254223552847e-37,7.664604573478201e-12
394.0,8.18838845458824e-37,8.812626965453202e-12
395.0,9.642042332518236e-37,1.012639445607167e-11
396.0,1.1349114889356141e-36,1.1628266635018857e-11
397.0,1.3354124052594243e-36,1.3344367716843512e-11
398.0,1.5709081983071016e-36,1.5304260259170228e-11
399.0,1.847149029709549e-36,1.7540366161529025e-11
400.0,2.1714180972147097e-36,2.009091105924522e-11
401.0,2.5518024958025192e-36,2.2997926238627312e-11
402.0,2.9975366654637322e-36,2.630828198708143e-11
403.0,3.520436486574446e-36,3.007740918805533e-11
404.0,4.133058876794848e-36,3.4364810324025506e-11
405.0,4.850386767243986e-36,3.9238274557054254e-11
406.0,5.6909951313136075e-36,4.477651774026163e-11
407.0,6.674794738679159e-36,5.106437988392641e-11
408.0,7.825945668927609e-36,5.8199127062636136e-11
409.0,9.17343278277766e-36,6.629168019166748e-11
410.0,1.0748781792990094e-35,7.546241356521116e-11
411.0,1.2590966266280846e-35,8.58502872236574e-11
412.0,1.4744856866195087e-35,9.761039303798315e-11
413.0,1.7260307550430064e-35,1.1091270600729403e-10
414.0,2.020021344268185e-35,1.2595490478878103e-10
415.0,2.363344383619143e-35,1.4295215423596133e-10
416.0,2.763931851921346e-35,1.6214408165785213e-10
417.0,3.231767697522936e-35,1.8380849454576664e-10
418.0,3.7774935240167104e-35,2.0824376877566127e-10
419.0,4.413784514973451e-35,2.35786804294667e-10
420.0,5.156130921833592e-35,2.668222982956263e-10
421.0,6.021198570078917e-35,3.0176497079739726e-10
422.0,7.029161829179903e-35,3.4108546705786807e-10
423.0,8.203882726989112e-35,3.853127384831951e-10
424.0,9.571426350504367e-35,4.350205108460136e-10
425.0,1.1163915340637587e-34,4.908635050210528e-10
426.0,1.3017826847305629e-34,5.535638715385517e-10
427.0,1.517387876918461e-34,6.239116652198947e-10
428.0,1.7683238686774504e-34,7.028138806715559e-10
429.0,2.0601207078144694e-34,7.912494410388294e-10
430.0,2.3991984856115603e-34,8.903055770280759e-10
431.0,2.7935138358922486e-34,1.0012210696919629e-09
432.0,3.251571665179718e-34,1.1253259716788966e-09
433.0,3.7834834061551075e-34,1.2641089775750748e-09
434.0,4.401440269642457e-34,1.4192452715505086e-09
435.0,5.118604904613491e-34,1.5925394913138614e-09
436.0,5.950872153310841e-34,1.78601963707831e-09
437.0,6.916792765639009e-34,2.001936374790376e-09
438.0,8.036712125242034e-34,2.2427272854909796e-09
439.0,9.33562559804757e-34,2.5111437359488397e-09
440.0,1.0841552017841536e-33,2.810190014092457e-09
441.0,1.2585904725231815e-33,3.1431441765517123e-09
442.0,1.4608005301894426e-33,3.513723838645715e-09
443.0,1.6949834362257102e-33,3.9259133435011575e-09
444.0,1.9660489009332602e-33,4.384120641423001e-09
445.0,2.279993174472351e-33,4.893292907710714e-09
446.0,2.6432432025695587e-33,5.45873596367553e-09
447.0,3.063425228036495e-33,6.086338340315903e-09
448.0,3.5496175084108e-33,6.782642078565996e-09
449.0,4.111654493587663e-33,7.554684126657767e-09
450.0,4.761382474526805e-33,8.41029852100855e-09
451.0,5.512454208807273e-33,9.35808502907424e-09
452.0,6.379900306844695e-33,1.0407336567096663e-08
453.0,7.382128791501296e-33,1.1568434037546025e-08
454.0,8.539524877423031e-33,1.28526153505703e-08
455.0,9.87509387579495e-33,1.4272109533831949e-08
456.0,1.1417280844228222e-32,1.5840592891176266e-08
457.0,1.3196457395343593e-32,1.757268964976572e-08
458.0,1.5248128925325574e-32,1.9484465267318195e-08
459.0,1.7615129175115305e-32,2.159372511295542e-08
460.0,2.0343488678340605e-32,2.391953178896798e-08
461.0,2.3487718579040386e-32,2.64828695917504e-08
462.0,2.7111930610311744e-32,2.9306793043904652e-08
463.0,3.128579735166853e-32,3.24160466811551e-08
464.0,3.609303228109154e-32,3.583793305044067e-08
465.0,4.162897569216973e-32,3.9602141122098113e-08
466.0,4.7998966215261216e-32,4.37406597494831e-08
467.0,5.533160679220776e-32,4.828887560565569e-08
468.0,6.376769336054384e-32,5.3284814718116806e-08
469.0,7.346714812062321e-32,5.876971532349269e-08
470.0,8.462516327470576e-32,6.478911740745628e-08
471.0,9.745054236050368e-32,7.139161381235326e-08
472.0,1.1218698542509394e-31,7.863020301991742e-08
473.0,1.2912515759046902e-31,8.65629833387237e-08
474.0,1.4857819924911587e-31,9.525201186598424e-08
475.0,1.7091618142496425e-31,1.0476507169555442e-07
476.0,1.9656941131976965e-31,1.1517591126115427e-07
477.0,2.2600692637076895e-31,1.2656346919806648e-07
478.0,2.5979084228706815e-31,1.3901411351305335e-07
479.0,2.985542107484803e-31,1.5262099294959919e-07
480.0,3.4299882879256687e-31,1.67484130550455e-07
481.0,3.9397878633917054e-31,1.8371316962586725e-07
482.0,4.524191377682347e-31,2.0142518263664922e-07
483.0,5.193769178719854e-31,2.2074661771585727e-07
484.0,5.961264868770791e-31,2.418155888445435e-07
485.0,6.840335497036521e-31,2.647790909676258e-07
486.0,7.8468934460084604e-31,2.897963496168989e-07
487.0,8.999713194337431e-31,3.1704025192192654e-07
488.0,1.031906930792705e-30,3.4669495575186754e-07
489.0,1.182887182001462e-30,3.7896014824879047e-07
490.0,1.3556623551783143e-30,4.1405126199434166e-07
491.0,1.5532388028991885e-30,4.5219816512602193e-07
492.0,1.7792101099320587e-30,4.936504204153543e-07
493.0,2.0375807416078118e-30,5.38675275565041e-07
494.0,2.332804048104761e-30,5.875586333229636e-07
495.0,2.6702826458155142e-30,6.40611348427885e-07
496.0,3.0558090616839694e-30,6.98163490023193e-07
497.0,3.4960391092228816e-30,7.605700333604705e-07
498.0,3.998903456378454e-30,8.282151629948515e-07
499.0,4.5729161750522086e-30,9.015065678973467e-07
500.0,5.2279798446183824e-30,9.808831536275809e-07
501.0,5.975658514868585e-30,1.0668177178434266e-06
502.0,6.828468674066561e-30,1.1598123337006608e-06
503.0,7.8016565504598e-30,1.2604103935082995e-06
504.0,8.912896153901027e-30,1.3691956628219797e-06
505.0,1.0181340921959763e-29,1.4867881188714914e-06
506.0,1.1628985657014494e-29,1.6138524222121607e-06
507.0,1.3280554294280148e-29,1.7510983272670706e-06
508.0,1.5163785168215475e-29,1.8992830973297315e-06
509.0,1.7312706788460135e-29,2.0592239779804404e-06
510.0,1.9761310013740107e-29,2.231778369317426e-06
511.0,2.2548730731882234e-29,2.4178627131397997e-06
512.0,2.571820639219219e-29,2.6184504388266707e-06
