time_s,Product,Impurity
360.7214428857715,2.229521770391881e-15,1.5178497668902078e-07
367.935871743487,2.883348695622607e-15,1.890368410933166e-07
375.1503006012024,3.7252490806288536e-15,2.35053355591848e-07
382.36472945891785,4.8082403217180556e-15,2.918023603991241e-07
389.57915831663325,6.1999718312431905e-15,3.616708332018392e-07
396.7935871743487,7.98667416832121e-15,4.475489202888545e-07
404.0080160320641,1.027814920276414e-14,5.529296536147316e-07
411.2224448897796,1.321406896486241e-14,6.820270361334281e-07
418.436873747495,1.697191783857368e-14,8.399155868441667e-07
425.65130260521045,2.1776996062433318e-14,1.0326948989499303e-06
432.86573146292585,2.7915005956800215e-14,1.2676832844002134e-06
440.0801603206413,3.574787062094745e-14,1.5536451610908192e-06
447.2945891783567,4.57335938321517e-14,1.9010574904313994e-06
454.5090180360722,5.845116662835625e-14,2.3224212981832475e-06
461.7234468937876,7.463176924937845e-14,2.832625115636654e-06
468.937875751503,9.519781735970754e-14,3.449368066344471e-06
476.15230460921845,1.213117717282204e-13,4.193651300396248e-06
483.36673346693385,1.5443708658046468e-13,5.090347547709802e-06
490.5811623246493,1.9641423288170768e-13,6.168859727400634e-06
497.7955911823647,2.4955542221365623e-13,7.4638808143697645e-06
505.0100200400802,3.167625030384964e-13,9.016268528009109e-06
512.2244488977956,4.01673538396362e-13,1.0874049871033902e-05
519.438877755511,5.088448441123959e-13,1.3093572106765535e-05
526.6533066132265,6.439768197807423e-13,1.574081841637842e-05
533.8677354709419,8.141938020055884e-13,1.8892908216828778e-05
541.0821643286573,1.028390484034081e-12,2.26398039355856e-05
548.2965931863728,1.2976602664671226e-12,2.7086247916715465e-05
555.5110220440882,1.6358243366122822e-12,3.2353955057372034e-05
562.7254509018036,2.0600844471340668e-12,3.858408872310012e-05
569.939879759519,2.59182743142692e-12,4.594004943871031e-05
577.1543086172345,3.257615637500968e-12,5.461060776783501e-05
584.3687374749499,4.090404904243202e-12,6.481341464213704e-05
591.5831663326653,5.131040706775514e-12,7.679892413811952e-05
598.7975951903808,6.430093975280822e-12,9.085476527699911e-05
606.0120240480962,8.050111218401055e-12,0.00010731060078609077
613.2264529058116,1.0068369403643502e-11,0.00012654351184694516
620.440881763527,1.2580245092772641e-11,0.00014898394859769708
627.6553106212425,1.570333022857755e-11,0.00017512228647980198
634.869739478958,1.958245446593574e-11,0.00020551602834116618
642.0841683366733,2.4395806916923615e-11,0.0002407976914413066
649.2985971943888,3.0362389679708425e-11,0.00028168341705688454
656.5130260521042,3.775108277511623e-11,0.0003289823381604473
663.7274549098197,4.6891656574172435e-11,0.0003836067375406955
670.941883767535,5.8188135172648004e-11,0.00044658302464603236
678.1563126252505,7.213499446231636e-11,0.0005190635542609627
685.370741482966,8.933677421960893e-11,0.0006023393037646851
692.5851703406813,1.1053179714226912e-10,0.0006978534180740978
699.7995991983968,1.3662082264528803e-10,0.0008072156223462282
707.0140280561122,1.6870162315537374e-10,0.0009322174920234718
714.2284569138277,2.0811066002495517e-10,0.0010748485577761477
721.442885771543,2.5647326015607176e-10,0.0012373132092726728
728.6573146292585,3.157639589534599e-10,0.0014220483464488182
735.871743486974,3.8837898725150636e-10,0.001631741710036016
743.0861723446894,4.77223247426433e-10,0.001869350804553352
750.3006012024048,5.858145563281958e-10,0.002138122306805538
757.5150300601202,7.184084407163391e-10,0.002441611831231746
764.7294589178357,8.801473669918202e-10,0.002783703900324964
771.9438877755512,1.077238985510213e-09,0.0031686319439375365
779.1583166332665,1.3171687871248965e-09,0.00360099812579711
786.372745490982,1.6089535247798362e-09,0.004085792769217152
793.5871743486974,1.9634428676675796e-09,0.004628413127083308
800.8016032064129,2.393678054555034e-09,0.005234681214067884
808.0160320641282,2.915317824779888e-09,0.005910860392055695
815.2304609218437,3.54714366256608e-09,0.006663670373391761
